"","title","description","streetaddress","city","state","Year","lat","long"
"1","A League of Her Own",NA,"2319 18th St NW, Washington, DC, 20009","Washington, DC",NA,2018,"38.9202141",-77.0415425317564
"2","A League of Her Own",NA,"2319 18th St NW, Washington, DC, 20009","Washington, DC",NA,2019,"38.9202141",-77.0415425317564
"3","A League of Her Own",NA,"2319 18th St NW, Washington, DC, 20009","Washington, DC",NA,2020,"38.9202141",-77.0415425317564
"4","A League of Her Own",NA,"2319 18th St NW, Washington, DC, 20009","Washington, DC",NA,2021,"38.9202141",-77.0415425317564
"5","A League of Her Own",NA,"2319 18th St NW, Washington, DC, 20009","Washington, DC",NA,2022,"38.9202141",-77.0415425317564
"6","A League of Her Own",NA,"2319 18th St NW, Washington, DC, 20009","Washington, DC",NA,2023,"38.9202141",-77.0415425317564
"7","A League of Her Own",NA,"2319 18th St NW, Washington, DC, 20009","Washington, DC",NA,2024,"38.9202141",-77.0415425317564
"8","Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",1978,"37.7625463",-122.4215367
"9","Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",1979,"37.7625463",-122.4215367
"10","Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",1980,"37.7625463",-122.4215367
"11","Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",1981,"37.7625463",-122.4215367
"12","Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",1982,"37.7625463",-122.4215367
"13","Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",1983,"37.7625463",-122.4215367
"14","Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",1984,"37.7625463",-122.4215367
"15","Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",1985,"37.7625463",-122.4215367
"16","Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",1986,"37.7625463",-122.4215367
"17","Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",1987,"37.7625463",-122.4215367
"18","Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",1988,"37.7625463",-122.4215367
"19","Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",1989,"37.7625463",-122.4215367
"20","Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",1990,"37.7625463",-122.4215367
"21","Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",1991,"37.7625463",-122.4215367
"22","The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",1958,"37.79980325",-122.407960076971
"23","The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",1959,"37.79980325",-122.407960076971
"24","The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",1960,"37.79980325",-122.407960076971
"25","The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",1961,"37.79980325",-122.407960076971
"26","The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",1962,"37.79980325",-122.407960076971
"27","The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",1963,"37.79980325",-122.407960076971
"28","The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",1964,"37.79980325",-122.407960076971
"29","The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",1965,"37.79980325",-122.407960076971
"30","The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",1966,"37.79980325",-122.407960076971
"31","The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",1967,"37.79980325",-122.407960076971
"32","as you are.",NA,"500 8th St SE, Washington, DC, 20003","Washington, DC",NA,2022,"38.8825825",-76.9947786
"33","as you are.",NA,"500 8th St SE, Washington, DC, 20003","Washington, DC",NA,2023,"38.8825825",-76.9947786
"34","as you are.",NA,"500 8th St SE, Washington, DC, 20003","Washington, DC",NA,2024,"38.8825825",-76.9947786
"35","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",1979,"37.5538666",-77.4823644
"36","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",1980,"37.5538666",-77.4823644
"37","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",1981,"37.5538666",-77.4823644
"38","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",1982,"37.5538666",-77.4823644
"39","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",1983,"37.5538666",-77.4823644
"40","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",1984,"37.5538666",-77.4823644
"41","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",1985,"37.5538666",-77.4823644
"42","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",1986,"37.5538666",-77.4823644
"43","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",1987,"37.5538666",-77.4823644
"44","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",1988,"37.5538666",-77.4823644
"45","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",1989,"37.5538666",-77.4823644
"46","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",1990,"37.5538666",-77.4823644
