"title","description","streetaddress","city","state","zipcode","Year"
"A League of Her Own",NA,"2319 18th St NW, Washington, DC, 20009","Washington, DC",NA,20009,2018
"A League of Her Own",NA,"2319 18th St NW, Washington, DC, 20009","Washington, DC",NA,20009,2019
"A League of Her Own",NA,"2319 18th St NW, Washington, DC, 20009","Washington, DC",NA,20009,2020
"A League of Her Own",NA,"2319 18th St NW, Washington, DC, 20009","Washington, DC",NA,20009,2021
"A League of Her Own",NA,"2319 18th St NW, Washington, DC, 20009","Washington, DC",NA,20009,2022
"A League of Her Own",NA,"2319 18th St NW, Washington, DC, 20009","Washington, DC",NA,20009,2023
"A League of Her Own",NA,"2319 18th St NW, Washington, DC, 20009","Washington, DC",NA,20009,2024
"Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",94110,1978
"Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",94110,1979
"Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",94110,1980
"Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",94110,1981
"Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",94110,1982
"Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",94110,1983
"Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",94110,1984
"Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",94110,1985
"Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",94110,1986
"Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",94110,1987
"Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",94110,1988
"Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",94110,1989
"Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",94110,1990
"Amelia's",NA,"647 Valencia St, San Francisco, California, 94110","San Francisco","California",94110,1991
"The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",94133,1958
"The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",94133,1959
"The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",94133,1960
"The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",94133,1961
"The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",94133,1962
"The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",94133,1963
"The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",94133,1964
"The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",94133,1965
"The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",94133,1966
"The Anxious Asp",NA,"528 Green St, San Francisco, California, 94133","San Francisco","California",94133,1967
"Artist's Club",NA,NA,"San Francisco","California",94133,1946
"Artist's Club",NA,NA,"San Francisco","California",94133,1947
"Artist's Club",NA,NA,"San Francisco","California",94133,1948
"Artist's Club",NA,NA,"San Francisco","California",94133,1949
"as you are.",NA,"500 8th St SE, Washington, DC, 20003","Washington, DC",NA,20003,2022
"as you are.",NA,"500 8th St SE, Washington, DC, 20003","Washington, DC",NA,20003,2023
"as you are.",NA,"500 8th St SE, Washington, DC, 20003","Washington, DC",NA,20003,2024
